title,creation_date,creation_date_earliest,creation_date_latest,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
Snuff bottle: Carved Glass,late 18th century,1770-01-01,1799-01-01,glass,79.H,cmoa:things/fd7a0764-d061-4de5-9820-7076510037aa,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,1.5,3.375,1.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=18,,Glass,http://collection.cmoa.org/CollectionImage.aspx?irn=1486&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle: Carved Glass,late 19th century,1875-01-01,1899-01-01,glass,77.H,cmoa:things/25d8d23b-03a7-480f-ab1d-d36b5d01f543,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,2.0,2.75,0.75,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=28,,Glass,http://collection.cmoa.org/CollectionImage.aspx?irn=1453&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle: Carved Glass,18th century,1700-01-01,1799-01-01,glass,80.H,cmoa:things/4d8941d0-b89f-4750-a538-71e0037417d8,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,1.25,2.75,1.25,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=29,,Glass,http://collection.cmoa.org/CollectionImage.aspx?irn=1503&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Stool,19th century,1800-01-01,1899-01-01,walnut veneer,31.1.5.2,cmoa:things/4822bfcc-e788-464a-b3c0-33885f60951d,Bequest of Mary E. Schenley,1931-04-02,Decorative Arts and Design,Not on View,15.5,15.0,15.75,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=45,"Estate of Mary E. Schenley (""""Pic Nic"""" House) Pittsburgh, PA",Wood,,cmoa:parties/03896989-0756-4eac-9894-2908dbb8a7be,Person,unknown American,unknown American,,American,,,,
Table Knife,19th century,1800-01-01,1899-01-01,"pistol-form silver plate handle, relief molded at end with scrolled leafage. silver plate handle, steel blade.",48.1.53.K,cmoa:things/70783097-e524-4a0c-8b4b-3c179f6c493e,Eleanore E. Stoney and Mary L. Edwards Collection of Georgian Silver,,Decorative Arts and Design,Not on View,1.0,9.25,0.75,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=52,Estate of Mary L. Edwards,Metals,http://collection.cmoa.org/CollectionImage.aspx?irn=6305&size=Medium,cmoa:parties/119dfe94-1f6b-46d0-802d-0420119fafaf,Person,unknown English,unknown English,,English,,,,
Table Knife,19th century,1800-01-01,1899-01-01,"pistol-form silver plate handle, relief molded at end with scrolled leafage. silver plate handle, steel blade.",48.1.53.M,cmoa:things/0ae0d207-8692-4593-ae46-fdb47bd35032,Eleanore E. Stoney and Mary L. Edwards Collection of Georgian Silver,,Decorative Arts and Design,Not on View,1.0,9.25,0.75,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=53,Estate of Mary L. Edwards,Metals,http://collection.cmoa.org/CollectionImage.aspx?irn=6306&size=Medium,cmoa:parties/119dfe94-1f6b-46d0-802d-0420119fafaf,Person,unknown English,unknown English,,English,,,,
Snuff bottle: Carved Glass,mid 10th century,0924-12-27,0974-12-27,glass,82.H,cmoa:things/c6540f48-65b0-461a-93ec-9c57bdd38c43,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,2.25,3.0,1.125,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=68,,Glass,http://collection.cmoa.org/CollectionImage.aspx?irn=1788&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle: Carved Glass,18th-19th century,1750-01-01,1850-01-01,glass,84.H,cmoa:things/58b4f26e-5544-48a6-aa80-2649f69ff28b,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,1.75,2.0,0.75,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=90,,Glass,http://collection.cmoa.org/CollectionImage.aspx?irn=1795&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,20th century,1900-01-01,1938-01-01,glass,90.H,cmoa:things/c84d730e-cdd1-4f39-aa65-7e272e881a98,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,1.625,2.5,0.75,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=132,,Glass,http://collection.cmoa.org/CollectionImage.aspx?irn=1807&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,early 19th century,1800-01-01,1850-01-01,glass,91.H,cmoa:things/e3042b11-6d34-46ec-a3d5-3d14e18dc139,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,1.5,2.5,0.875,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=175,,Glass,http://collection.cmoa.org/CollectionImage.aspx?irn=1808&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
English Ivory Work Box,18th century,1700-01-01,1799-01-01,"ivory, metal, wood",5783.1,cmoa:things/5bc54a92-268e-46f6-a284-3b1d8d9aa803,Gift of H. J. Heinz,1917-02-06,Decorative Arts and Design,Not on View,13.25,12.5,11.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=192,H.J. Heinz collection,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1680&size=Medium,cmoa:parties/119dfe94-1f6b-46d0-802d-0420119fafaf,Person,unknown English,unknown English,,English,,,,
Bust of Boy Crying,,,,ivory,27.10.1100,cmoa:things/b216767a-f7d5-4b94-b892-ec1b3a3da455,Gift of Herbert DuPuy,1927-01-01,Decorative Arts and Design,Not on View,2.5,5.625,2.5,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=193,"Herbert DuPuy [1856-1930], Pittsburgh, PA; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, November 1927.",sculpture,http://collection.cmoa.org/CollectionImage.aspx?irn=657&size=Medium,cmoa:parties/59d018b5-8fd4-4764-b686-cb8f16b8769c,Person,unknown,unknown,,undetermined,,,,
Bust of Boy Frowning,,,,ivory,27.10.1101,cmoa:things/9ad2d28c-84b1-4d31-9482-26f4ab52ac4d,Gift of Herbert DuPuy,1927-01-01,Decorative Arts and Design,Not on View,3.125,5.375,3.125,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=194,"Herbert DuPuy [1856-1930], Pittsburgh, PA; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, November 1927.",sculpture,http://collection.cmoa.org/CollectionImage.aspx?irn=482&size=Medium,cmoa:parties/59d018b5-8fd4-4764-b686-cb8f16b8769c,Person,unknown,unknown,,undetermined,,,,
Portrait of Bacchus,18th century,1700-01-01,1799-01-01,ivory,27.10.1102,cmoa:things/df8a74f5-57a6-47ab-bdb7-b3d41f29c828,Gift of Herbert DuPuy,1927-01-01,Decorative Arts and Design,Not on View,3.0,3.625,0.25,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=195,"Herbert DuPuy [1856-1930], Pittsburgh, PA; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, November 1927.",sculpture,http://collection.cmoa.org/CollectionImage.aspx?irn=481&size=Medium,cmoa:parties/59d018b5-8fd4-4764-b686-cb8f16b8769c,Person,unknown,unknown,,undetermined,,,,
Snuff bottle,19th century,1800-01-01,1899-01-01,"lacquer, jade",98.H,cmoa:things/b595b917-4c45-42da-a5b6-c1031787d2c7,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,2.5,2.375,1.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=196,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1809&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
D'mba (Headdress),20th century,1900-01-01,1999-01-01,wood and metal,2002.28,cmoa:things/5f03fc0b-6739-44e4-9fb9-0a4106e98752,Gift of Mr. and Mrs. William Roemer,2002-06-06,Decorative Arts and Design,African Art Gallery,12.5,29.0,22.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=215,"Mr. and Mrs. William Roemer, Sewickley, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, June 2002.",Wood,http://collection.cmoa.org/CollectionImage.aspx?irn=5175&size=Medium,cmoa:parties/428c8582-aa01-47b3-9de9-0eff8d5c93a1,Person,"unknown Guinean, Baga culture","unknown Guinean, Baga culture",,Guinean,,,,
Plate,c. 1910,1905-01-01,1915-01-01,lustreware,2002.29.4,cmoa:things/481f9d98-be21-43e8-847a-eefa44f7fac9,Museum appropriation,2002-06-06,Decorative Arts and Design,Not on View,12.125,1.125,12.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=219,,Ceramics,http://collection.cmoa.org/CollectionImage.aspx?irn=8426&size=Medium,cmoa:parties/e6a1fe12-6ac6-412e-b246-7e3a2bb5a3ef,Person,unknown Italian,unknown Italian,,Italian,,,,
Snuff bottle,c. 1880-1890,1875-01-01,1895-01-01,"amber, jade",56.H,cmoa:things/3a23a239-35da-4e86-bfff-7ce954711cb4,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,1.75,3.0,0.75,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=250,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1279&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,18th century,1700-01-01,1799-01-01,amber,57.H,cmoa:things/668c5a51-4176-4259-8367-d1dd8f38c834,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,3.25,1.25,2.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=251,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1290&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,18th century,1700-01-01,1799-01-01,amber,58.H,cmoa:things/993594d0-e28d-4635-93e2-2728cf7e70d0,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,2.0,2.0,1.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=252,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1297&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,18th century,1700-01-01,1799-01-01,amber,59.H,cmoa:things/f1c4dcd8-efa7-44a9-97e1-d5bfbbe8669f,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,2.0,2.5,1.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=253,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1302&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Snuff bottle,18th century,1700-01-01,1799-01-01,amber,60.H,cmoa:things/dcce0f74-cabd-424b-b04f-dc6fbfd8c9a6,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,1.875,2.5,1.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=254,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1306&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Medicine bottle,no date,,,porcelain,64.H.A-B,cmoa:things/b16edd8b-8565-450a-9da2-6a934a40e469,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,0.0,0.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=255,,Ceramics,http://collection.cmoa.org/CollectionImage.aspx?irn=2957&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,,Chinese,,,,
Carved Glass Snuff Bottle,18th-19th century,1750-01-01,1850-01-01,glass,72.H,cmoa:things/93d2345b-9cbe-4f3f-9c42-2c59751499ea,Gift of Howard Heinz,1938-12-28,Decorative Arts and Design,Not on View,1.875,2.125,0.75,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=256,,containers,http://collection.cmoa.org/CollectionImage.aspx?irn=1398&size=Medium,cmoa:parties/b21e4f72-77fc-4c7a-8343-74c67e9c4f3b,Person,unknown Chinese,unknown Chinese,attributed to,Chinese,,,,
