title,creation_date,creation_date_earliest,creation_date_latest,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
100 mark note,c. 1922,1917-01-01,1927-01-01,aluminum,1999.8.1,cmoa:things/5d7ebec8-d566-42c8-aa9c-3a64de9ced96,Anonymous Gift,1999-02-04,Decorative Arts and Design,Not on View,4.938,3.188,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1003960,"Anonymous donor, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February, 1999.",Metals,http://collection.cmoa.org/CollectionImage.aspx?irn=107348&size=Medium,cmoa:parties/db0f3f08-4336-4301-90ba-05d50ea6e3db,Person,unknown German,unknown German,,German,,,,
100 mark note,c. 1922,1917-01-01,1927-01-01,aluminum,1999.8.2,cmoa:things/262847a6-7993-43d4-a668-6eb1aa4cd351,Anonymous Gift,1999-02-04,Decorative Arts and Design,Not on View,4.938,3.188,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1003961,"Anonymous donor, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, February, 1999.",Metals,http://collection.cmoa.org/CollectionImage.aspx?irn=107349&size=Medium,cmoa:parties/db0f3f08-4336-4301-90ba-05d50ea6e3db,Person,unknown German,unknown German,,German,,,,
Portrait of a Gentleman,19th century,1800-01-01,1899-01-01,oil on panel,68.49.1,cmoa:things/d1eacbbe-13d7-4124-8252-688bac96cde9,Anonymous Gift,,Decorative Arts and Design,Not on View,9.5,11.5,1.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1012502,,paintings,,cmoa:parties/03896989-0756-4eac-9894-2908dbb8a7be,Person,unknown American,unknown American,,American,,,,
Portrait of a Gentleman,19th century,1800-01-01,1899-01-01,oil on panel,68.49.2,cmoa:things/a425c422-eddd-4724-a9c9-8b92f5072790,Anonymous Gift,,Decorative Arts and Design,Not on View,9.5,11.5,1.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1012503,,paintings,,cmoa:parties/03896989-0756-4eac-9894-2908dbb8a7be,Person,unknown American,unknown American,,American,,,,
Ibis,664 BCE-525 BCE,-0664-01-08,-0525-01-07,"bronze, onyx, and obsidian",72.25.1,cmoa:things/62173ac3-d86f-456d-9a0b-9a07eca0ef03,Anonymous gift,1972-10-12,Decorative Arts and Design,Art before 1300 Gallery,6.25,5.25,2.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1016398,"Anonymous, before 1972; Gift to Carnegie Museum of Art, 1972. 

TBF November 5, 2014",Metals,,cmoa:parties/b2df2db8-1e91-43b6-ab5b-39970eb1cf51,Person,unknown Egyptian,unknown Egyptian,,Egyptian,,,,
Textile fragment,3rd-6th century,0200-01-02,0598-12-30,Cotton,72.25.2,cmoa:things/e89379c6-ecab-4372-8a6c-19039620dca4,Anonymous Gift,1977-10-12,Decorative Arts and Design,Not on View,4.75,11.375,0.5,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1016399,"Anonymous donor, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, October 1977.",Textiles,,cmoa:parties/9a0fa5ba-5800-4b51-ba7e-f029941f6b3d,Person,unknown Coptic (Deer El Maharak),unknown Coptic (Deer El Maharak),,Coptic Egyptian,,,,
"Fragment, right side of Portal of Mastaba of Mery at Saqqara","mid 4th Dynasty, 2613-2498 BCE",-2613-01-23,-2498-01-21,limestone with traces of color,73.11,cmoa:things/904b7592-c2c3-43ff-9a10-ec75fce8fd61,Egyptian Art Fund: anonymous gift and the Estate of John Henry Craner,1973-02-07,Decorative Arts and Design,Art before 1300 Gallery,16.75,32.0,3.25,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1016614,"Wildenstein and Co., New York, NY",sculpture,http://collection.cmoa.org/CollectionImage.aspx?irn=26118&size=Medium,cmoa:parties/b2df2db8-1e91-43b6-ab5b-39970eb1cf51,Person,unknown Egyptian,unknown Egyptian,,Egyptian,,,,
"Horus, Falcon-Form","26th Dynasty, 664-525 BCE",-0664-01-08,-0525-01-07,bronze,73.45.2,cmoa:things/d66dff7a-ff1b-43ff-980f-f0423f38cb75,Anonymous gift,1973-12-05,Decorative Arts and Design,Art before 1300 Gallery,7.875,9.0,3.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1016735,"Anonymous donor, Pittsburgh, PA; gift to Carnegie Museum of Art, Pittsburgh, PA, December, 1973.",Metals,http://collection.cmoa.org/CollectionImage.aspx?irn=28272&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=3008&size=Medium,cmoa:parties/b2df2db8-1e91-43b6-ab5b-39970eb1cf51,Person,unknown Egyptian,unknown Egyptian,,Egyptian,,,,
Textile fragment,no date,,,linen with cotton thread,73.45.4.1,cmoa:things/db213ae9-3d6c-4aa5-a80c-ee8d2af5f37c,Anonymous Promised Gift,1973-12-05,Decorative Arts and Design,Not on View,5.5,1.875,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1016737,"Anonymous donor, Pittsburgh, PA, until December 5, 1973; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 5, 1973.",Textiles,,cmoa:parties/5c339916-c9de-4c9c-a279-be6247d1aa71,Person,unknown Coptic,unknown Coptic,,Coptic Egyptian,,,,
Textile fragment,no date,,,tapestry technique,73.45.4.2,cmoa:things/79cca405-b96a-4f1a-afec-f6358128d010,Anonymous Promised Gift,1973-12-05,Decorative Arts and Design,Not on View,5.625,1.6,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1016738,"Anonymous donor, Pittsburgh, PA, until December 5, 1973; gift to Museum of Art, Carnegie Institute, Pittsburgh, PA, December 5, 1973.",Textiles,,cmoa:parties/5c339916-c9de-4c9c-a279-be6247d1aa71,Person,unknown Coptic,unknown Coptic,,Coptic Egyptian,,,,
